"home_team","away_team","home_score","home_xg","home_penalty","away_score","away_xg","away_penalty","home_manager","home_captain","away_manager","away_captain","home_goals","away_goals","Attendance","Venue","Officials","Date","Score","Referee","Notes","Round","Host","Year"
"West Germany","Peru",3,NA,NA,1,NA,NA,"Helmut Schoen","Uwe Seeler","Didi","Héctor Chumpitaz","Gerd Müller · 19|Gerd Müller · 26|Gerd Müller · 39","Teófilo Cubillas · 44",17875,"Nou Camp - Estadio Leï¿½n, Leon","Abel Aguilar Elizalde (Referee) · Jose Maria Ortiz De Mendibil (AR1) · Antonio Sbardella (AR2)",1970-06-10,"3–1","Abel Aguilar Elizalde",NA,"Group stage","Mexico",1970
"Brazil","Romania",3,NA,NA,2,NA,NA,"Mario Zagallo","Carlos Alberto Torres","Angelo Niculescu","Mircea Lucescu","Pelé · 19|Jairzinho · 22|Pelé · 67","Florea Dumitrache · 34|Emerich Dembrovschi · 84",50804,"Jalisco, Guadalajara","Ferdinand Marschall (Referee) · Ramon Barreto Ruiz (AR1) · Vital Loraux (AR2)",1970-06-10,"3–2","Ferdinand Marschall",NA,"Group stage","Mexico",1970
"Sweden","Uruguay",1,NA,NA,0,NA,NA,"Orvar Bergmark","Björn Nordqvist","Juan Hohberg","Luis Ubiña","Ove Grahn · 90",NA,18163,"Cuauhtemoc, Puebla","Henry Landauer (Referee) · John Taylor (AR1) · Andrei Radulescu (AR2)",1970-06-10,"1–0","Henry Landauer",NA,"Group stage","Mexico",1970
"Soviet Union","El Salvador",2,NA,NA,0,NA,NA,"Gavril Kachalin","Albert Shesternyov","Hernan Carrasco","Salvador Mariona","Anatoliy Byshovets · 51|Anatoliy Byshovets · 74",NA,89979,"Estadio Azteca, Mexico City","Rafael Hormazabal Diaz (Referee) · Norberto Angel Coerezza (AR1) · Ayrton Vieira De Moraes (AR2)",1970-06-10,"2–0","Rafael Hormazabal Diaz",NA,"Group stage","Mexico",1970
"Mexico","El Salvador",4,NA,NA,0,NA,NA,"Raul Cardenas","Gustavo Peña","Hernan Carrasco","Salvador Mariona","Javier Valdivia · 45|Javier Valdivia · 46|Javier Fragoso · 58|Juan Ignacio Basaguren · 83",NA,103058,"Estadio Azteca, Mexico City","Aly Hussein Kandil (Referee) · Keith Dunstan (AR1) · John Taylor (AR2)",1970-06-07,"4–0","Aly Hussein Kandil",NA,"Group stage","Mexico",1970
"Brazil","England",1,NA,NA,0,NA,NA,"Mario Zagallo","Carlos Alberto Torres","Alf Ramsey","Bobby Moore","Jairzinho · 59",NA,66843,"Jalisco, Guadalajara","Abraham Klein (Referee) · Arturo Yamasaki Maldonado (AR1) · Roger Machin (AR2)",1970-06-07,"1–0","Abraham Klein",NA,"Group stage","Mexico",1970
"West Germany","Bulgaria",5,NA,NA,2,NA,NA,"Helmut Schoen","Uwe Seeler","Stefan Bozhkov","Boris Gaganelov","Reinhard Libuda · 20|Gerd Müller · 27|Gerd Müller (P) · 52|Uwe Seeler · 70|Gerd Müller · 88","Asparuh Nikodimov · 12|Todor Kolev · 89",12710,"Nou Camp - Estadio Leï¿½n, Leon","Jose Maria Ortiz De Mendibil (Referee) · Guillermo Velasquez (AR1) · Antonio Saldanha Ribeiro (AR2)",1970-06-07,"5–2","Jose Maria Ortiz De Mendibil",NA,"Group stage","Mexico",1970
"Sweden","Israel",1,NA,NA,1,NA,NA,"Orvar Bergmark","Tommy Svensson","Emmanuel Sheffer","Mordechai Spiegler","Tom Turesson · 53","Mordechai Spiegler · 56",9624,"Luis Dosal, Toluca","Seyoum Tarekegn (Referee) · Andrei Radulescu (AR1) · Drago Horvat (AR2)",1970-06-07,"1–1","Seyoum Tarekegn",NA,"Group stage","Mexico",1970
"Romania","Czechoslovakia",2,NA,NA,1,NA,NA,"Angelo Niculescu","Mircea Lucescu","Jozef Marko","Alexander Horváth","Alexandru Neagu · 52|Florea Dumitrache (P) · 75","Ladislav Petráš · 5",56818,"Jalisco, Guadalajara","Diego De Leo (Referee) · Gyula Emsberger (AR1) · Vital Loraux (AR2)",1970-06-06,"2–1","Diego De Leo",NA,"Group stage","Mexico",1970
"Uruguay","Italy",0,NA,NA,0,NA,NA,"Juan Hohberg","Luis Ubiña","Ferruccio Valcareggi","Giacinto Facchetti",NA,NA,29968,"Cuauhtemoc, Puebla","Rudolf Gloeckner (Referee) · Kurt Tschenscher (AR1) · Drago Horvat (AR2)",1970-06-06,"0–0","Rudolf Gloeckner",NA,"Group stage","Mexico",1970
